subject,hemisphere,dataType,label,dice
026,right,NoDenoising,1,0.577866
026,right,NoDenoising,2,0
026,right,NoDenoising,3,0.558458
026,right,NoDenoising,4,0.342007
026,right,NoDenoising,8,0.295952
026,right,NoDenoising,9,0.367837
026,right,NoDenoising,11,0.368733
026,right,NoDenoising,12,0.455639
027,right,NoDenoising,all,0
027,right,NoDenoising,1,0
027,right,NoDenoising,2,0
027,right,NoDenoising,3,0
027,right,NoDenoising,4,0
027,right,NoDenoising,8,0
027,right,NoDenoising,9,0
027,right,NoDenoising,11,0
027,right,NoDenoising,12,0
028,right,NoDenoising,all,0.473929
028,right,NoDenoising,1,0.604547
028,right,NoDenoising,2,0
028,right,NoDenoising,3,0.582834
028,right,NoDenoising,4,0.125413
028,right,NoDenoising,8,0.313287
028,right,NoDenoising,9,0.436343
028,right,NoDenoising,11,0.149031
028,right,NoDenoising,12,0.475862
000,left,NoDenoising,all,0.729062
000,left,NoDenoising,1,0.762846
000,left,NoDenoising,2,0.0952381
000,left,NoDenoising,3,0.810603
000,left,NoDenoising,4,0.340136
000,left,NoDenoising,8,0.694869
000,left,NoDenoising,9,0.764072
000,left,NoDenoising,11,0.564728
000,left,NoDenoising,12,0.7074
001,left,NoDenoising,all,0.716097
001,left,NoDenoising,1,0.748503
001,left,NoDenoising,2,0
001,left,NoDenoising,3,0.744221
001,left,NoDenoising,4,0.468271
001,left,NoDenoising,8,0.632853
001,left,NoDenoising,9,0.711681
001,left,NoDenoising,11,0.586026
001,left,NoDenoising,12,0.757495
002,left,NoDenoising,all,0.681141
002,left,NoDenoising,1,0.732021
002,left,NoDenoising,2,0.228571
002,left,NoDenoising,3,0.748844
002,left,NoDenoising,4,0.371134
002,left,NoDenoising,8,0.600179
002,left,NoDenoising,9,0.672229
002,left,NoDenoising,11,0.535509
002,left,NoDenoising,12,0.668694
003,left,NoDenoising,all,0.573061
003,left,NoDenoising,1,0.644195
003,left,NoDenoising,2,0.218182
003,left,NoDenoising,3,0.69402
003,left,NoDenoising,4,0.0632911
003,left,NoDenoising,8,0.473239
003,left,NoDenoising,9,0.644275
003,left,NoDenoising,11,0.297716
003,left,NoDenoising,12,0.559948
004,left,NoDenoising,all,0.652013
004,left,NoDenoising,1,0.703627
004,left,NoDenoising,2,0.0327869
004,left,NoDenoising,3,0.719399
004,left,NoDenoising,4,0.322188
004,left,NoDenoising,8,0.545553
004,left,NoDenoising,9,0.628328
004,left,NoDenoising,11,0.43694
004,left,NoDenoising,12,0.666396
005,left,NoDenoising,all,0.533145
005,left,NoDenoising,1,0.573153
005,left,NoDenoising,2,0
005,left,NoDenoising,3,0.595636
005,left,NoDenoising,4,0.0982456
005,left,NoDenoising,8,0.344086
005,left,NoDenoising,9,0.649869
005,left,NoDenoising,11,0.596546
005,left,NoDenoising,12,0.481176
