subject,hemisphere,dataType,label,dice
010,left,NoDenoising,12,0.476904
011,left,NoDenoising,all,0.637538
011,left,NoDenoising,1,0.67307
011,left,NoDenoising,2,0.278481
011,left,NoDenoising,3,0.726804
011,left,NoDenoising,4,0.50655
011,left,NoDenoising,8,0.597015
011,left,NoDenoising,9,0.671183
011,left,NoDenoising,11,0.485333
011,left,NoDenoising,12,0.589054
012,left,NoDenoising,all,0.645759
012,left,NoDenoising,1,0.703246
012,left,NoDenoising,2,0.175
012,left,NoDenoising,3,0.750295
012,left,NoDenoising,4,0.443769
012,left,NoDenoising,8,0.611673
012,left,NoDenoising,9,0.616734
012,left,NoDenoising,11,0.532588
012,left,NoDenoising,12,0.606804
013,left,NoDenoising,all,0.728829
013,left,NoDenoising,1,0.749881
013,left,NoDenoising,2,0.333333
013,left,NoDenoising,3,0.788466
013,left,NoDenoising,4,0.391534
013,left,NoDenoising,8,0.673575
013,left,NoDenoising,9,0.745989
013,left,NoDenoising,11,0.576998
013,left,NoDenoising,12,0.738635
014,left,NoDenoising,all,0.692752
014,left,NoDenoising,1,0.69002
014,left,NoDenoising,2,0.338462
014,left,NoDenoising,3,0.745098
014,left,NoDenoising,4,0.504425
014,left,NoDenoising,8,0.588472
014,left,NoDenoising,9,0.717949
014,left,NoDenoising,11,0.61488
014,left,NoDenoising,12,0.716389
015,left,NoDenoising,all,0.666636
015,left,NoDenoising,1,0.696672
015,left,NoDenoising,2,0.168675
015,left,NoDenoising,3,0.736091
015,left,NoDenoising,4,0.322148
015,left,NoDenoising,8,0.399006
015,left,NoDenoising,9,0.630273
015,left,NoDenoising,11,0.379763
015,left,NoDenoising,12,0.754019
016,left,NoDenoising,all,0.747233
016,left,NoDenoising,1,0.768046
016,left,NoDenoising,2,0.352941
016,left,NoDenoising,3,0.78549
016,left,NoDenoising,4,0.527536
016,left,NoDenoising,8,0.627517
016,left,NoDenoising,9,0.787583
016,left,NoDenoising,11,0.774699
016,left,NoDenoising,12,0.73166
017,left,NoDenoising,all,0.660631
017,left,NoDenoising,1,0.68517
017,left,NoDenoising,2,0
017,left,NoDenoising,3,0.698795
017,left,NoDenoising,4,0.215385
017,left,NoDenoising,8,0.570259
017,left,NoDenoising,9,0.658014
017,left,NoDenoising,11,0.551471
017,left,NoDenoising,12,0.68992
018,left,NoDenoising,all,0.707894
018,left,NoDenoising,1,0.731633
018,left,NoDenoising,2,0.0625
018,left,NoDenoising,3,0.769436
018,left,NoDenoising,4,0.332075
018,left,NoDenoising,8,0.682958
018,left,NoDenoising,9,0.772229
018,left,NoDenoising,11,0.692791
018,left,NoDenoising,12,0.667067
019,left,NoDenoising,all,0.586032
019,left,NoDenoising,1,0.703746
019,left,NoDenoising,2,0
019,left,NoDenoising,3,0.767561
019,left,NoDenoising,4,0.229299
019,left,NoDenoising,8,0.43289
019,left,NoDenoising,9,0.656744
019,left,NoDenoising,11,0.340351
019,left,NoDenoising,12,0.515855
020,left,NoDenoising,all,0.720392
020,left,NoDenoising,1,0.749375
020,left,NoDenoising,2,0.263158
020,left,NoDenoising,3,0.801008
020,left,NoDenoising,4,0.478161
020,left,NoDenoising,8,0.599659
020,left,NoDenoising,9,0.674556
020,left,NoDenoising,11,0.688434
020,left,NoDenoising,12,0.713464
021,left,NoDenoising,all,0.673855
021,left,NoDenoising,1,0.687898
021,left,NoDenoising,2,0.121212
021,left,NoDenoising,3,0.734778
021,left,NoDenoising,4,0.424242
021,left,NoDenoising,8,0.611744
021,left,NoDenoising,9,0.535916
021,left,NoDenoising,11,0.460145
021,left,NoDenoising,12,0.728811
022,left,NoDenoising,all,0.652848
022,left,NoDenoising,1,0.656197
022,left,NoDenoising,2,0
022,left,NoDenoising,3,0.706767
022,left,NoDenoising,4,0.427419
022,left,NoDenoising,8,0.668601
022,left,NoDenoising,9,0.621464
022,left,NoDenoising,11,0.503674
022,left,NoDenoising,12,0.674465
023,left,NoDenoising,all,0.659412
023,left,NoDenoising,1,0.748897
023,left,NoDenoising,2,0.344086
023,left,NoDenoising,3,0.795574
023,left,NoDenoising,4,0.557576
023,left,NoDenoising,8,0.710586
023,left,NoDenoising,9,0.647532
023,left,NoDenoising,11,0.572496
023,left,NoDenoising,12,0.560247
024,left,NoDenoising,all,0.662222
024,left,NoDenoising,1,0.685409
024,left,NoDenoising,2,0.0253165
024,left,NoDenoising,3,0.78135
024,left,NoDenoising,4,0.324786
024,left,NoDenoising,8,0.556923
024,left,NoDenoising,9,0.711579
024,left,NoDenoising,11,0.59126
024,left,NoDenoising,12,0.609504
025,left,NoDenoising,all,0.721077
025,left,NoDenoising,1,0.726044
025,left,NoDenoising,2,0.208955
025,left,NoDenoising,3,0.777959
025,left,NoDenoising,4,0.533762
025,left,NoDenoising,8,0.718615
025,left,NoDenoising,9,0.737846
025,left,NoDenoising,11,0.722001
025,left,NoDenoising,12,0.696119
026,left,NoDenoising,all,0.521054
026,left,NoDenoising,1,0.582356
026,left,NoDenoising,2,0
026,left,NoDenoising,3,0.59736
026,left,NoDenoising,4,0.284153
026,left,NoDenoising,8,0.310861
026,left,NoDenoising,9,0.333014
026,left,NoDenoising,11,0.492424
026,left,NoDenoising,12,0.552008
027,left,NoDenoising,all,0.634163
027,left,NoDenoising,1,0.58511
027,left,NoDenoising,2,0
027,left,NoDenoising,3,0.660602
027,left,NoDenoising,4,0.336538
027,left,NoDenoising,8,0.372624
027,left,NoDenoising,9,0.526941
027,left,NoDenoising,11,0.704478
027,left,NoDenoising,12,0.724986
028,left,NoDenoising,all,0.554738
028,left,NoDenoising,1,0.584817
028,left,NoDenoising,2,0
028,left,NoDenoising,3,0.594614
028,left,NoDenoising,4,0.214953
028,left,NoDenoising,8,0.332378
028,left,NoDenoising,9,0.564581
028,left,NoDenoising,11,0.444012
028,left,NoDenoising,12,0.602797
